complaint,category,priority,department
Cracks have spread across the main highway,Road Damage,Critical,Roads & Infrastructure
Road edge has broken near the river,Road Damage,Critical,Roads & Infrastructure
Road is severely damaged beside the college,Road Damage,High,Roads & Infrastructure
Deep potholes near the vegetable market,Road Damage,High,Roads & Infrastructure
Broken pavement creating danger for pedestrians,Road Damage,Medium,Roads & Infrastructure
Road damage forcing vehicles into the opposite lane,Road Damage,Critical,Roads & Infrastructure
Asphalt has worn away leaving large holes,Road Damage,High,Roads & Infrastructure
Road repair is urgently required near the bus depot,Road Damage,High,Roads & Infrastructure
Main street has become difficult to drive on,Road Damage,Medium,Roads & Infrastructure
Collapsed road section blocking public transport,Road Damage,Critical,Roads & Infrastructure
Road has dangerous potholes after recent floods,Road Damage,Critical,Roads & Infrastructure
No drinking water supply since yesterday,Water Supply,High,Water Supply
Water pipeline burst near the government school,Water Supply,Critical,Water Supply
Water leakage from the main pipeline near the market,Water Supply,High,Water Supply
Very low water pressure in our colony,Water Supply,Medium,Water Supply
Dirty water is coming from the household taps,Water Supply,High,Water Supply
Water tank is overflowing continuously,Water Supply,Medium,Water Supply
Pipeline leakage beside the hospital road,Water Supply,High,Water Supply
Public tap is damaged and leaking,Water Supply,Medium,Water Supply
No water supply in our apartment for two days,Water Supply,High,Water Supply
Drinking water smells bad,Water Supply,High,Water Supply
Brown colored water coming from the tap,Water Supply,High,Water Supply
Water pipe has broken near the bus stand,Water Supply,Critical,Water Supply
Continuous water leakage near the temple,Water Supply,Medium,Water Supply
Water is flowing onto the road because of a broken pipe,Water Supply,High,Water Supply
Main pipeline damaged after road work,Water Supply,Critical,Water Supply
Public water tap has stopped working,Water Supply,Medium,Water Supply
Underground pipeline is leaking near the park,Water Supply,High,Water Supply
No water in our area during the morning,Water Supply,Medium,Water Supply
Water supply is interrupted every evening,Water Supply,Medium,Water Supply
Drinking water contains mud particles,Water Supply,High,Water Supply
Water pressure is extremely low near our street,Water Supply,Medium,Water Supply
Leakage from water valve near the junction,Water Supply,Medium,Water Supply
Broken pipeline wasting drinking water,Water Supply,High,Water Supply
Overflowing overhead water tank near the school,Water Supply,Medium,Water Supply
Tap water is not clean enough for drinking,Water Supply,High,Water Supply
Water leakage near the residential colony entrance,Water Supply,High,Water Supply
Supply has stopped after pipeline maintenance,Water Supply,Medium,Water Supply
Main water connection has burst,Water Supply,Critical,Water Supply
Water is not coming from the public tap,Water Supply,Medium,Water Supply
Pipeline repair has been pending for many days,Water Supply,Medium,Water Supply
Water is leaking continuously near the health center,Water Supply,High,Water Supply
Drinking water has an unusual smell,Water Supply,High,Water Supply
Water supply is available only for a few minutes,Water Supply,Medium,Water Supply
Burst pipe causing waterlogging on the road,Water Supply,Critical,Water Supply
Water pipeline has cracked near the apartment,Water Supply,High,Water Supply
Water valve is damaged and leaking badly,Water Supply,Medium,Water Supply
No drinking water available in the village today,Water Supply,High,Water Supply
Water is getting wasted because of pipe leakage,Water Supply,Medium,Water Supply
The municipal water tap is broken,Water Supply,Medium,Water Supply
Leakage from underground water connection,Water Supply,High,Water Supply
No water since early morning,Water Supply,Medium,Water Supply
The overhead tank is leaking continuously,Water Supply,Medium,Water Supply
Pipeline burst beside the shopping complex,Water Supply,Critical,Water Supply
Water quality has become very poor,Water Supply,High,Water Supply
Public tap is overflowing continuously,Water Supply,Medium,Water Supply
Main supply line has developed a leak,Water Supply,High,Water Supply
Drinking water is mixed with dirty water,Water Supply,Critical,Water Supply
There is a leak in the water meter connection,Water Supply,Medium,Water Supply
Pipeline has burst near the police station,Water Supply,Critical,Water Supply
Water supply is irregular in our colony,Water Supply,Medium,Water Supply
Water leakage near the bus depot,Water Supply,High,Water Supply
Water is coming with a bad odor,Water Supply,High,Water Supply
Tap is leaking continuously outside our house,Water Supply,Low,Water Supply
No water available in the hostel today,Water Supply,High,Water Supply
Broken drinking water pipeline near the playground,Water Supply,Critical,Water Supply
Water pressure keeps dropping every afternoon,Water Supply,Medium,Water Supply
Water connection is damaged near the market road,Water Supply,High,Water Supply
Overflowing water tank wasting thousands of liters,Water Supply,High,Water Supply
Main pipeline is leaking beside the community hall,Water Supply,High,Water Supply
No clean drinking water available for residents,Water Supply,Critical,Water Supply
Garbage has not been collected for three days,Garbage,High,Sanitation & Waste Management
Overflowing garbage bin near the market,Garbage,High,Sanitation & Waste Management
Garbage is scattered across the road,Garbage,Medium,Sanitation & Waste Management
Waste is creating a foul smell near the school,Garbage,High,Sanitation & Waste Management
Garbage dumped beside the hospital entrance,Garbage,Critical,Sanitation & Waste Management
Dustbin is overflowing near the bus stand,Garbage,High,Sanitation & Waste Management
Household waste has accumulated near our colony,Garbage,Medium,Sanitation & Waste Management
Garbage collection vehicle has not visited our area,Garbage,High,Sanitation & Waste Management
Rotting waste is attracting stray animals,Garbage,High,Sanitation & Waste Management
Garbage is blocking the roadside drain,Garbage,High,Sanitation & Waste Management
Large pile of garbage near the playground,Garbage,Medium,Sanitation & Waste Management
Garbage has been left beside the public park,Garbage,Medium,Sanitation & Waste Management
Food waste is causing a bad smell,Garbage,Medium,Sanitation & Waste Management
Garbage is attracting mosquitoes in our area,Garbage,High,Sanitation & Waste Management
Overflowing dustbin near the shopping complex,Garbage,High,Sanitation & Waste Management
Plastic waste is spread across the street,Garbage,Medium,Sanitation & Waste Management
Garbage bags are lying on the footpath,Garbage,Medium,Sanitation & Waste Management
Waste has remained uncleared after the festival,Garbage,High,Sanitation & Waste Management
Garbage is blocking pedestrian movement,Garbage,Medium,Sanitation & Waste Management
Dustbin has not been emptied for several days,Garbage,High,Sanitation & Waste Management
Medical waste is dumped in the open,Garbage,Critical,Sanitation & Waste Management
Garbage near the temple is creating hygiene issues,Garbage,Medium,Sanitation & Waste Management
Waste collection has stopped in our street,Garbage,High,Sanitation & Waste Management
Open garbage dump attracting flies,Garbage,High,Sanitation & Waste Management
Overflowing community dustbin,Garbage,High,Sanitation & Waste Management
Garbage is piled beside the apartment gate,Garbage,Medium,Sanitation & Waste Management
Garbage has not been removed after market closing,Garbage,Medium,Sanitation & Waste Management
Waste is scattered around the public dustbin,Garbage,Medium,Sanitation & Waste Management
Foul smell due to accumulated garbage,Garbage,High,Sanitation & Waste Management
Garbage is affecting nearby shops,Garbage,Medium,Sanitation & Waste Management
Dustbin is broken and waste is spilling out,Garbage,Medium,Sanitation & Waste Management
Garbage is dumped near the drinking water tank,Garbage,Critical,Sanitation & Waste Management
Waste is attracting rats in the locality,Garbage,High,Sanitation & Waste Management
Garbage collection is irregular in our colony,Garbage,Medium,Sanitation & Waste Management
Open dumping of waste beside the road,Garbage,High,Sanitation & Waste Management
Garbage is causing air pollution after burning,Garbage,Critical,Sanitation & Waste Management
Waste is spread across the market area,Garbage,High,Sanitation & Waste Management
Overflowing garbage bin near the apartment,Garbage,Medium,Sanitation & Waste Management
Public dustbin is missing from our street,Garbage,Low,Sanitation & Waste Management
Garbage has accumulated near the bus depot,Garbage,High,Sanitation & Waste Management
Uncollected garbage is attracting insects,Garbage,High,Sanitation & Waste Management
Garbage is dumped near the school gate,Garbage,High,Sanitation & Waste Management
Waste disposal has become irregular,Garbage,Medium,Sanitation & Waste Management
Garbage is overflowing onto the road,Garbage,High,Sanitation & Waste Management
Large amount of plastic waste near the canal,Garbage,Medium,Sanitation & Waste Management
Overflowing waste bin creating hygiene problems,Garbage,High,Sanitation & Waste Management
Garbage is blocking vehicle movement,Garbage,Medium,Sanitation & Waste Management
Food waste has attracted stray dogs,Garbage,High,Sanitation & Waste Management
Garbage has remained uncollected after rainfall,Garbage,Medium,Sanitation & Waste Management
Public waste bin is completely full,Garbage,High,Sanitation & Waste Management
Waste is creating unhealthy conditions for residents,Garbage,High,Sanitation & Waste Management
Garbage has accumulated beside the railway crossing,Garbage,Medium,Sanitation & Waste Management
Overflowing garbage container near the hospital,Garbage,Critical,Sanitation & Waste Management
Illegal dumping of garbage in the open ground,Garbage,High,Sanitation & Waste Management
Garbage is causing severe odor in the neighborhood,Garbage,High,Sanitation & Waste Management
Dustbins are insufficient for our locality,Garbage,Low,Sanitation & Waste Management
Waste has accumulated near the community hall,Garbage,Medium,Sanitation & Waste Management
Garbage is affecting public health in the colony,Garbage,Critical,Sanitation & Waste Management
Overflowing garbage bin beside the main road,Garbage,High,Sanitation & Waste Management
Garbage has not been cleared despite repeated complaints,Garbage,High,Sanitation & Waste Management
Power outage in our colony since morning,Electricity,Critical,Electricity & Street Lighting
Electric pole is leaning dangerously,Electricity,Critical,Electricity & Street Lighting
Transformer is making loud noises,Electricity,High,Electricity & Street Lighting
Loose electric wire hanging near the road,Electricity,Critical,Electricity & Street Lighting
Frequent power cuts every evening,Electricity,High,Electricity & Street Lighting
Electric transformer is leaking oil,Electricity,Critical,Electricity & Street Lighting
Power supply interrupted repeatedly today,Electricity,High,Electricity & Street Lighting
Electric pole has developed cracks,Electricity,High,Electricity & Street Lighting
Sparking from electric wires near the market,Electricity,Critical,Electricity & Street Lighting
Electric cable has fallen on the road,Electricity,Critical,Electricity & Street Lighting
No electricity in our apartment building,Electricity,High,Electricity & Street Lighting
Voltage is fluctuating throughout the day,Electricity,High,Electricity & Street Lighting
Broken electric junction box near the park,Electricity,High,Electricity & Street Lighting
Electric transformer caught fire briefly,Electricity,Critical,Electricity & Street Lighting
High voltage fluctuations damaging appliances,Electricity,Critical,Electricity & Street Lighting
Electric pole is blocking the footpath after tilting,Electricity,High,Electricity & Street Lighting
Power supply has been unavailable for six hours,Electricity,Critical,Electricity & Street Lighting
Loose cable hanging outside the school,Electricity,Critical,Electricity & Street Lighting
Transformer near the hospital is malfunctioning,Electricity,Critical,Electricity & Street Lighting
Electric meter box is damaged,Electricity,Medium,Electricity & Street Lighting
Frequent tripping of electricity supply,Electricity,High,Electricity & Street Lighting
Underground power cable appears damaged,Electricity,Critical,Electricity & Street Lighting
Power line has snapped near the playground,Electricity,Critical,Electricity & Street Lighting
Electric pole has rusted badly,Electricity,Medium,Electricity & Street Lighting
Residents are facing daily power interruptions,Electricity,High,Electricity & Street Lighting
Transformer is overloaded during evenings,Electricity,High,Electricity & Street Lighting
Electric wire is touching tree branches,Electricity,Critical,Electricity & Street Lighting
Power outage affecting the health center,Electricity,Critical,Electricity & Street Lighting
Open electrical panel near the bus stand,Electricity,Critical,Electricity & Street Lighting
Fuse on the electric pole has blown,Electricity,Medium,Electricity & Street Lighting
Power supply is unstable in our street,Electricity,High,Electricity & Street Lighting
Electric wires are hanging very low,Electricity,Critical,Electricity & Street Lighting
Transformer is emitting smoke,Electricity,Critical,Electricity & Street Lighting
Electricity keeps going off during rainfall,Electricity,High,Electricity & Street Lighting
Pole-mounted transformer is vibrating heavily,Electricity,High,Electricity & Street Lighting
Broken electrical cable near the temple,Electricity,Critical,Electricity & Street Lighting
Electric line is dangerously close to houses,Electricity,Critical,Electricity & Street Lighting
Power outage near the shopping complex,Electricity,High,Electricity & Street Lighting
Electric junction box cover is missing,Electricity,High,Electricity & Street Lighting
Electric pole has fallen after strong winds,Electricity,Critical,Electricity & Street Lighting
Current supply is very irregular today,Electricity,Medium,Electricity & Street Lighting
Damaged power cable near the railway crossing,Electricity,Critical,Electricity & Street Lighting
Transformer is producing burning smell,Electricity,Critical,Electricity & Street Lighting
Loose electricity connection near the community hall,Electricity,High,Electricity & Street Lighting
Power failure affecting traffic signals,Electricity,Critical,Electricity & Street Lighting
Residents are facing low voltage issues,Electricity,Medium,Electricity & Street Lighting
Electric pole foundation has weakened,Electricity,High,Electricity & Street Lighting
Power outage after transformer failure,Electricity,Critical,Electricity & Street Lighting
Live wire exposed near residential colony,Electricity,Critical,Electricity & Street Lighting
Electricity supply restored only for a few minutes,Electricity,Medium,Electricity & Street Lighting
Transformer maintenance has been delayed,Electricity,Medium,Electricity & Street Lighting
Broken electric pole near the canal,Electricity,Critical,Electricity & Street Lighting
Power outage affecting water pumping station,Electricity,Critical,Electricity & Street Lighting
Electric line has snapped during the storm,Electricity,Critical,Electricity & Street Lighting
Voltage is too low during peak hours,Electricity,Medium,Electricity & Street Lighting
Electrical sparks visible every night,Electricity,Critical,Electricity & Street Lighting
Power cuts disrupting local businesses,Electricity,High,Electricity & Street Lighting
Transformer has stopped working completely,Electricity,Critical,Electricity & Street Lighting
Electric cable is lying across the road,Electricity,Critical,Electricity & Street Lighting
Continuous power failure in our locality,Electricity,Critical,Electricity & Street Lighting
Street light near the bus stop is not working,Street Light
Lamp post in front of the school is completely dark,Street Light
Street light keeps flickering throughout the night,Street Light
Entire lane has no functioning street lights,Street Light
LED street light is damaged and needs replacement,Street Light
Street light wiring appears broken,Street Light
Street light near the park has been off for a week,Street Light
Two street lights are not working on the main road,Street Light
Pole light is blinking continuously,Street Light
Street light switched off automatically after sunset,Street Light
Broken street light is making the road unsafe,Street Light
Street light outside hospital has stopped working,Street Light
High mast light is not functioning,Street Light
Street lights remain off every evening,Street Light
Dark street due to faulty street lights,Street Light
Light pole has exposed electrical wires,Street Light
Street light cover is broken,Street Light
Street light is hanging dangerously,Street Light
Old sodium lamp is completely dead,Street Light
Street light turns on only for a few minutes,Street Light
Street light has low brightness,Street Light
Several street lights are fused,Street Light
Street light maintenance is overdue,Street Light
Road is dark because all lights failed,Street Light
Light sensor is malfunctioning,Street Light
Pole has tilted after heavy rain,Street Light
Street light emits sparks occasionally,Street Light
Pole base is damaged,Street Light
Street light cable is exposed,Street Light
Lamp post has rusted badly,Street Light
Street light has fallen sideways,Street Light
No lighting near pedestrian crossing,Street Light
Street light beside temple is not working,Street Light
Residential street remains dark every night,Street Light
Street light outside apartment has failed,Street Light
Street lights flash randomly,Street Light
Street light repair has been delayed,Street Light
Street light stopped working after storm,Street Light
Street light glass is broken,Street Light
Pole is leaning dangerously,Street Light
Street light maintenance requested urgently,Street Light
Dark road increasing accident risk,Street Light
Street light issue affecting visibility,Street Light
Street lights not repaired despite complaints,Street Light
Street light cable snapped,Street Light
No illumination on service road,Street Light
Street light near junction is off,Street Light
Street light remains dim,Street Light
Street light timer is faulty,Street Light
Entire street has lighting failure,Street Light
Street light damaged by vehicle collision,Street Light
Street light not working since last month,Street Light
Broken lamp holder on pole,Street Light
Street light missing after repair work,Street Light
Street light tripping repeatedly,Street Light
Street light problem causing unsafe conditions,Street Light
Street light fixture is loose,Street Light
Street light electricity supply interrupted,Street Light
Old street lights require replacement,Street Light
Street lighting system needs maintenance,Street Light
Drain is overflowing near the market,Drainage
Blocked drainage causing water accumulation,Drainage
Sewage water overflowing onto the road,Drainage
Drainage channel is clogged with waste,Drainage
Bad smell coming from open drain,Drainage
Drain cover is broken,Drainage
Drain water is stagnant,Drainage
Drainage line blocked after rainfall,Drainage
Overflowing drain creating unhygienic conditions,Drainage
Drain needs immediate cleaning,Drainage
Drain filled with plastic waste,Drainage
Drain is leaking dirty water,Drainage
Drain cover missing near school,Drainage
Open drain causing mosquito breeding,Drainage
Drainage pipeline is damaged,Drainage
Storm water drain is blocked,Drainage
Drain overflowing into houses,Drainage
Drain maintenance is overdue,Drainage
Drain wall has collapsed,Drainage
Drainage water entering road,Drainage
Sewage backup due to blocked drain,Drainage
Drain clogged with mud,Drainage
Drain filled with weeds,Drainage
Drain water flowing onto footpath,Drainage
Drainage issue after heavy rain,Drainage
Drain emitting foul odor,Drainage
Drain blocked by construction debris,Drainage
Open drain creating health hazard,Drainage
Drain overflow affecting traffic,Drainage
Drain requires desilting,Drainage
Drain cover displaced,Drainage
Drain broken beside residential area,Drainage
Drain collapse causing pothole,Drainage
Drain outlet blocked,Drainage
Drain flooded after rainfall,Drainage
Drain cleaning required urgently,Drainage
Drain pipe cracked,Drainage
Drain carrying stagnant sewage,Drainage
Drain filled with garbage,Drainage
Drain blockage causing flooding,Drainage
Drain overflowing every morning,Drainage
Drain damaged by heavy vehicles,Drainage
Drain water not flowing properly,Drainage
Drain maintenance neglected,Drainage
Drain causing slippery road,Drainage
Drain opening is unsafe,Drainage
Drain structure weakened,Drainage
Drain overflow reaching homes,Drainage
Drain wall cracked,Drainage
Drain causing sanitation issues,Drainage
Drain has become breeding ground for insects,Drainage
Drain cleaning delayed,Drainage
Drain blocked near bus stop,Drainage
Drain overflowing near temple,Drainage
Drain water mixing with rainwater,Drainage
Drain system requires repair,Drainage
Drain collapse needs fixing,Drainage
Drain overflowing continuously,Drainage
Drain blockage unresolved,Drainage
Drain maintenance requested,Drainage
Tree branch blocking the road,Obstruction
Construction materials blocking traffic,Obstruction
Abandoned vehicle obstructing the road,Obstruction
Illegal parking blocking entrance,Obstruction
Street vendors occupying footpath,Obstruction
Large stones blocking road,Obstruction
Debris left on road after construction,Obstruction
Broken barricades obstructing movement,Obstruction
Fallen tree blocking traffic,Obstruction
Sand piles blocking roadside,Obstruction
Footpath occupied by vendors,Obstruction
Garbage blocking pedestrian path,Obstruction
Electric pole fallen across road,Obstruction
Construction waste blocking lane,Obstruction
Temporary shed blocking road,Obstruction
Abandoned cart blocking pathway,Obstruction
Unauthorized structure blocking drainage,Obstruction
Fence blocking public access,Obstruction
Road blocked by building materials,Obstruction
Large pothole filled with debris,Obstruction
Vehicle parked permanently on road,Obstruction
Broken signboard blocking walkway,Obstruction
Illegal encroachment on road,Obstruction
Concrete blocks blocking street,Obstruction
Road divider damaged and obstructing traffic,Obstruction
Street market blocking vehicles,Obstruction
Road closed without notice,Obstruction
Cable lying across road,Obstruction
Fallen advertisement board blocking road,Obstruction
Broken tree trunk blocking sidewalk,Obstruction
Construction equipment blocking street,Obstruction
Unauthorized parking on footpath,Obstruction
Temporary stalls blocking pedestrians,Obstruction
Road occupied by abandoned materials,Obstruction
Obstruction causing traffic congestion,Obstruction
Blocked emergency access road,Obstruction
Illegal barricade on street,Obstruction
Heavy machinery blocking road,Obstruction
Drain repair materials left unattended,Obstruction
Street blocked by festival setup,Obstruction
Road blocked due to fallen pole,Obstruction
Large container blocking lane,Obstruction
Unauthorized gate blocking access,Obstruction
Footpath inaccessible due to obstacles,Obstruction
Obstruction reducing road width,Obstruction
Public pathway blocked by waste,Obstruction
Broken wall blocking road,Obstruction
Collapsed structure blocking entrance,Obstruction
Obstruction near school entrance,Obstruction
Market goods blocking road,Obstruction
Road blocked by pipes,Obstruction
Obstruction affecting ambulance movement,Obstruction
Road blocked after accident,Obstruction
Traffic movement affected by obstruction,Obstruction
Temporary obstruction not removed,Obstruction
Illegal encroachment needs removal,Obstruction
Blocked service lane,Obstruction
Pedestrian crossing obstructed,Obstruction
Obstruction creating safety hazard,Obstruction
Road obstruction requires immediate removal,Obstruction
Public bench is broken,Public Property
Park swing is damaged,Public Property
Government building wall is damaged,Public Property
Community hall lights are broken,Public Property
Public toilet is unusable,Public Property
Public tap is damaged,Public Property
Bus shelter roof is broken,Public Property
Public park fence is damaged,Public Property
Public dustbin is broken,Public Property
Library entrance gate is damaged,Public Property
Park equipment requires repair,Public Property
Broken public seating area,Public Property
Public notice board damaged,Public Property
Damaged public staircase,Public Property
Government office gate broken,Public Property
Playground equipment unsafe,Public Property
Public water fountain not working,Public Property
Community center wall cracked,Public Property
Public gym equipment damaged,Public Property
Broken handrail in park,Public Property
Bus stop bench damaged,Public Property
Public restroom requires maintenance,Public Property
Park pathway tiles broken,Public Property
Public property vandalized,Public Property
Government building paint peeling,Public Property
Broken park gate,Public Property
Damaged public monument,Public Property
Public waiting area roof leaking,Public Property
Public property requires renovation,Public Property
Broken public drinking water facility,Public Property
Community building windows broken,Public Property
Play area unsafe for children,Public Property
Damaged bus stop sign,Public Property
Public property neglected,Public Property
Park lighting fixtures damaged,Public Property
Public garden fence broken,Public Property
Public staircase railing loose,Public Property
Government property maintenance required,Public Property
Community notice board broken,Public Property
Broken pavement in park,Public Property
Public washroom door broken,Public Property
Public seating damaged,Public Property
Public playground fence broken,Public Property
Community center roof leaking,Public Property
Public building entrance damaged,Public Property
Broken public shelter,Public Property
Public asset vandalized,Public Property
Public park maintenance required,Public Property
Community property damaged,Public Property
Government property needs repair,Public Property
Broken information board,Public Property
Damaged public infrastructure,Public Property
Public property unsafe,Public Property
Public building maintenance delayed,Public Property
Community asset damaged,Public Property
Broken civic property,Public Property
Public area facilities damaged,Public Property
Public property requires inspection,Public Property
Damaged municipal property,Public Property
Public property repair requested,Public Property
Stray dogs chasing pedestrians,Animal
Cattle roaming on the road,Animal
Injured dog lying on roadside,Animal
Monkey causing disturbance in residential area,Animal
Dead animal on the road,Animal
Stray pigs creating nuisance,Animal
Buffalo blocking traffic,Animal
Stray dog pack near school,Animal
Cow sitting in middle of road,Animal
Goats wandering into traffic,Animal
Dog barking aggressively at night,Animal
Animal carcass not removed,Animal
Stray animals near hospital,Animal
Monkey damaging houses,Animal
Street dogs fighting frequently,Animal
Cattle grazing on public road,Animal
Dead cow causing foul smell,Animal
Dog bite risk due to stray dogs,Animal
Animal blocking emergency vehicles,Animal
Snake spotted near residential area,Animal
Wild boar entering colony,Animal
Animal rescue required urgently,Animal
Stray cattle causing accidents,Animal
Dog injured after accident,Animal
Monkey entering school premises,Animal
Animals scattering garbage,Animal
Cow blocking junction,Animal
Stray dogs near playground,Animal
Animal causing traffic congestion,Animal
Dead animal near drainage,Animal
Aggressive stray dog reported,Animal
Stray horse roaming freely,Animal
Animal shelter assistance needed,Animal
Livestock wandering unattended,Animal
Animal creating public safety issue,Animal
Dead dog requires removal,Animal
Animal crossing without control,Animal
Cow injured on roadside,Animal
Monkey stealing food from residents,Animal
Animal creating sanitation problem,Animal
Dog pack increasing in area,Animal
Animal disturbing market area,Animal
Stray pigs near drainage,Animal
Animal rescue team needed,Animal
Stray cattle near highway,Animal
Dead animal attracting insects,Animal
Animal creating road hazard,Animal
Dog trapped in drain,Animal
Animal welfare assistance required,Animal
Monkey attacking pedestrians,Animal
Cow stuck in drainage,Animal
Stray dog population increasing,Animal
Animal causing fear among residents,Animal
Goats blocking road frequently,Animal
Animal emergency reported,Animal
Livestock creating traffic issues,Animal
Dog injured and unable to move,Animal
Animal control requested,Animal
Dead animal not removed yet,Animal
Immediate animal rescue required,Animal
Traffic signal not working,Traffic
Heavy traffic congestion during peak hours,Traffic
Broken traffic light at junction,Traffic
Unauthorized parking causing traffic,Traffic
Missing traffic sign near school,Traffic
Road intersection requires traffic signal,Traffic
Traffic police assistance required,Traffic
Traffic jam due to road narrowing,Traffic
Speed breaker required near school,Traffic
Vehicles driving in wrong direction,Traffic
Signal timing needs adjustment,Traffic
Traffic lights blinking continuously,Traffic
Pedestrian crossing faded,Traffic
Missing zebra crossing,Traffic
Illegal U-turn causing accidents,Traffic
Traffic congestion near market,Traffic
No traffic signal at busy junction,Traffic
Road divider damaged,Traffic
Traffic signboard missing,Traffic
Wrong parking causing delays,Traffic
Traffic signal power failure,Traffic
Busy intersection without regulation,Traffic
Need no parking sign,Traffic
Traffic signal malfunctioning daily,Traffic
Heavy vehicle congestion,Traffic
School zone traffic issue,Traffic
Road markings faded,Traffic
Traffic lights remain red continuously,Traffic
Traffic signal pole damaged,Traffic
Vehicles blocking intersection,Traffic
Traffic management required,Traffic
Road safety signs missing,Traffic
Frequent traffic jams reported,Traffic
Traffic issue affecting emergency vehicles,Traffic
Illegal parking near hospital,Traffic
Need additional speed breakers,Traffic
Traffic congestion after road work,Traffic
Signal synchronization problem,Traffic
Traffic signs damaged,Traffic
Busy road requires regulation,Traffic
Roundabout causing congestion,Traffic
Traffic lane markings missing,Traffic
Accident-prone junction requires signal,Traffic
Traffic barriers damaged,Traffic
Road safety improvements required,Traffic
Traffic control needed during school hours,Traffic
Signal lights partially working,Traffic
Vehicles ignoring traffic rules,Traffic
Heavy congestion every evening,Traffic
Traffic issue due to encroachment,Traffic
Traffic bottleneck reported,Traffic
Need pedestrian crossing signal,Traffic
Traffic warning signs missing,Traffic
Traffic light maintenance overdue,Traffic
Intersection visibility poor,Traffic
Traffic flow disrupted,Traffic
Road safety complaint submitted,Traffic
Traffic signal requires repair,Traffic
Traffic congestion unresolved,Traffic
Urgent traffic management required,Traffic
